DNASource,BioSample,Identifer,Country,Year,Serovar,cgMLST,ST,ResistGene,Host,SampleSource
ERR1102387,SAMEA3639586,DMG1500267,Australia,2013,,4105,9,"abc-f, fosX, lin",natural / free-living,Human
ERR2135594,SAMEA104314759,,,,,4106,26,"abc-f, fosX, lin",,
SRR5000307,SAMN05179426,C2014019058,USA,2014,,4107,199,"abc-f, fosX, lin, tet(M)",,Fiesta Scramble Bowl
SRR7551190,SAMN09655822,FDA1036616-052-001,USA,2018,,4108,288,"fosX, lin",,Environmental swab
ERR2522225,SAMEA4586975,,Netherlands,2015,,4109,36,"abc-f, fosX, lin",Homo sapiens,
SRR6869539,SAMN08742955,FSIS31800258,USA,2018,,4110,14,"abc-f, fosX, lin",,Environmental: non-food-contact surface
SRR7172428,SAMN09214462,278050,United Kingdom,2016,4,4111,54,"fosX, lin",Homo sapiens,Human
SRR4017859,SAMN05558825,PNUSAL002363,USA,2016,,4112,1992,"abc-f, fosX, lin",,Blood
SRR2952769,SAMN04244475,OSF041552,USA,2014,,4113,1038,"abc-f, fosX, lin",,Dairy Mixture
ERR1738734,SAMEA4475842,08CEB60LM,France,2008,IIa,4114,121,"fosX, lin",,Food
ERR1738735,SAMEA4475844,08CEB73LM,France,2008,IIa,4114,121,"fosX, lin",,Food
ERR1738736,SAMEA4475845,08CEB79LM,France,2008,IIa,4114,121,"fosX, lin",,Food
ERR1100928,SAMEA3540846,LM06-01244,,,,4115,20,"abc-f, fosX, lin",,
SRR6238399,SAMN07949745,PNUSAL003501,USA,,,4116,5,"fosX, lin",,
SRR5134706,SAMN06189583,PNUSAL002735,USA,2016,,4117,1052,"abc-f, fosX, lin",,Blood
SRR5676332,SAMN06240113,MOD1_LS1246,USA,2003,,4118,382,"fosX, lin",Homo sapiens,Clinical
SRR6796266,SAMN02922374,FDA680736 25-RLM A,USA,2011,,4119,88,"fosX, lin",,Swab
SRR6930602,SAMN08833178,05B07990A-1,USA,2005,,4120,199,"abc-f, fosX, lin, tet(M)",,Sicilian tuna salad-product
SRR2047518,SAMN03755397,H7765,USA,,,4121,11,"fosX, lin",,Deli meat
SRR5160219,SAMN06115609,CFSAN038871,United Kingdom,,,4122,9,"abc-f, fosX, lin",,Retail meat
SRR2134921,SAMN03922743,PNUSAL001569,USA,2015,1/2a,4123,1355,"abc-f, fosX, lin",,Blood
SRR4052108,SAMN05615176,21725,United Kingdom,2013,1/2a,4124,204,"abc-f, fosX, lin",Homo sapiens,Human
SRR7241724,SAMN08955927,FDA1014253-S037-001,USA,2018,,4125,321,"fosX, lin",,Environmental swab
ERR1600148,SAMEA4412894,,,,,4126,29,"abc-f, fosX, lin",,
SRR3112622,SAMN04331128,LiDS0073,Canada,2005,,4127,321,"fosX, lin",Homo sapiens,Fluid - Blood; Clinical; Human (Homo Sapiens); animal - blood
ERR2519477,SAMEA4584548,,Austria,2013,,4128,26,"abc-f, fosX, lin",Homo sapiens,
ERR1230441,SAMEA3857881,,,,,4128,26,"abc-f, fosX, lin",,
SRR2138315,SAMN02709221,FDA530486 2-1,USA,2009,,4129,826,"fosX, lin",,Smoked salmon
ERR1100961,SAMEA3540867,LM07423,,,,4130,193,"abc-f, fosX, lin",,
SRR1520064,SAMN02924364,PNUSAL000812,USA,2014,1/2a,4131,206,"abc-f, fosX, lin",,Blood
SRR3590650,SAMN04192194,PNUSAL001810,USA,,,4132,7,"fosX, lin",,Frozen Cut Green Beans
SRR5817812,SAMN07312386,FDA923816-061-003,USA,2017,,4133,1812,"fosX, lin",,Environmental swab
SRR2544802,SAMN03702803,TX-866425.COMP.4,USA,2014,,4134,363,"fosX, lin",,Avocado
ERR2521897,SAMEA4586646,,Netherlands,2010,,4135,91,"abc-f, fosX, lin",Homo sapiens,
ERR1230453,SAMEA3857893,,,,,4136,8,"abc-f, fosX, lin",,
SRR1027703,SAMN02400359,CFSAN007137,Russia,2010,,4137,155,"fosX, lin",,Frozen cooked broiler claws (crab)
ERR1304206,SAMEA3861797,,,,,4138,9,"abc-f, fosX, lin",,
SRR5452328,SAMN06705307,FDA941127-111-001,USA,2017,,4139,5,"fosX, lin",,Environmental swab
ERR2521641,SAMEA4586404,,Finland,2015,,4140,391,"abc-f, fosX, lin",Homo sapiens,
SRR6377201,SAMN08178253,FSIS11706494,USA,2017,,4141,121,"fosX, lin",,RTE Product
SRR5417830,SAMN06649805,FDA1001491-064-004,USA,2017,,4142,224,"fosX, lin",,Environmental swab
SRR6077115,SAMN07695112,PNUSAL003412,USA,,,4143,382,"fosX, lin",,
SRR3474608,SAMN04914059,OSF048865,USA,2015,,4144,199,"abc-f, fosX, lin, tet(M)",,Environmental sponge
SRR5878373,SAMN07422278,PNUSAL003186,USA,2017,,4145,370,"abc-f, fosX, lin",,Blood
SRR3929006,SAMN05413942,PNUSAL002309,USA,2016,1/2a,4146,841,"abc-f, fosX, lin",,Blood
ERR1276240,SAMEA3876149,CLIP 2015/00137,,,,4147,4,"fosX, lin",,
SRR5764891,SAMN05410695,OCF58,Canada,2013,,4148,11,"fosX, lin",,Seagull droppings
SRR6959321,SAMN08134288,CFSAN072490,USA,1999,,4149,219,"fosX, lin",Homo sapiens,Clinical isolate
SRR7039823,SAMN08956054,PNUSAL003904,USA,2018,,4150,5,"fosX, lin",,Blood
